Estimate	Std..Error	z.value	Pr...z..	ESO
2.02420541320581	0.102860888066189	19.6790583015701	3.2600353493415e-86	(Intercept)
-1.4360303233614	0.126564660798643	-11.346218717767	7.74397311078243e-30	ESOfficeANCHORAGE FISH AND WILDLIFE FIELD OFFICE
-5.59842195900239	0.594356366182369	-9.41930174814447	4.54097681309125e-21	ESOfficeARCATA FISH AND WILDLIFE OFFICE
-2.9019624810758	0.124279362080598	-23.3503168385578	1.36798012904487e-120	ESOfficeARIZONA ECOLOGICAL SERVICES FIELD OFFICE
-0.597334486455119	0.13486321095457	-4.42918778388227	9.45886379110816e-06	ESOfficeARKANSAS ECOLOGICAL SERVICES FIELD OFFICE
-2.38624004629319	0.111210515639826	-21.456964141965	3.93150941897607e-102	ESOfficeARLINGTON ECOLOGICAL SERVICES FIELD OFFICE
-1.14675451464849	0.147706466558834	-7.76373940400042	8.24612451548593e-15	ESOfficeASHEVILLE ECOLOGICAL SERVICES FIELD OFFICE
14.917409798909	848.367312046515	0.0175836687565481	0.985970985108383	ESOfficeASSISTANT REGIONAL DIRECTOR-CONSERVATION PARTNERSHIP
-18.5902745453803	1199.772977425	-0.0154948268507259	0.987637411573745	ESOfficeASSISTANT REGIONAL DIRECTOR-ECOLOGICAL SERVICES
-0.474218315125925	0.136807430771257	-3.46631986619806	0.000527635157665852	ESOfficeAUSTIN ECOLOGICAL SERVICES FIELD OFFICE
-1.96286920873573	0.107924732445883	-18.1873900842884	6.49606985657824e-74	ESOfficeBLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE
-18.5902738391145	1696.73434712613	-0.01095650233674	0.991258150847929	ESOfficeBRANCH OF CONSULTATIONS, HCPS AND STATE GRANTS
-3.21730854529376	0.149404189164621	-21.5342592686526	7.43740524011969e-103	ESOfficeCARIBBEAN ECOLOGICAL SERVICES FIELD OFFICE
-3.91804900854478	0.146056928788719	-26.8254922312689	1.62970517642227e-158	ESOfficeCARLSBAD FISH AND WILDLIFE OFFICE
0.757952760050425	0.226766075805458	3.34244334104309	0.000830443070397156	ESOfficeCENTRAL WASHINGTON FIELD OFFICE
-2.9286616874347	0.195255507905766	-14.9991245770549	7.43940516065017e-51	ESOfficeCHESAPEAKE BAY ECOLOGICAL SERVICES FIELD OFFICE
0.194998070849973	0.481995324384861	0.404564237420428	0.685797850618585	ESOfficeCHICAGO ECOLOGICAL SERVICE FIELD OFFICE
-2.91150860820495	0.128499598334973	-22.6577253620297	1.17072766149699e-113	ESOfficeCOLORADO ECOLOGICAL SERVICES FIELD OFFICE
-3.72429769391037	0.138610842649935	-26.8687327968719	5.0961925584614e-159	ESOfficeCOLUMBIA ECOLOGICAL SERVICES FIELD OFFICE
-3.04273770789874	0.11138839772289	-27.316468950998	2.70364391896365e-164	ESOfficeCOLUMBUS ECOLOGICAL SERVICES FIELD OFFICE
-1.58332868394377	0.111411622420283	-14.2115216487102	7.77182229491728e-46	ESOfficeCORPUS CHRISTI ECOLOGICAL SERVICES FIELD OFFICE
-18.5902738356838	665.513971254805	-0.0279337093414169	0.977715022760224	ESOfficeDIVISION OF CONSULTATION, HCPS, RECOVERY AND STATE GRANTS
-2.1839271380821	0.144668100265505	-15.0961209421704	1.71744190593047e-51	ESOfficeEAST LANSING ECOLOGICAL SERVICES FIELD OFFICE
-4.34493475832503	0.161393913145489	-26.9213049838395	1.23690759643772e-159	ESOfficeFAIRBANKS FISH AND WILDLIFE FIELD OFFICE
-2.99611066800925	0.113395968733633	-26.4216682609513	7.72471033737771e-154	ESOfficeGEORGIA ECOLOGICAL SERVICES FIELD OFFICE
-18.5902738357859	97.0752431078073	-0.191503757710299	0.848130936795484	ESOfficeGREEN BAY ECOLOGICAL SERVICES FIELD OFFICE
-18.214727047078	2399.54476954876	-0.00759090944175355	0.993943388719609	ESOfficeHOPPER MOUNTAIN NATIONAL WILDLIFE REFUGE COMPLEX
-3.43519238691554	0.188304038921782	-18.2427971624255	2.36062988033173e-74	ESOfficeHOUSTON ECOLOGICAL SERVICES FIELD OFFICE
2.3278305077828	0.32040663755645	7.26523809099515	3.72381782713648e-13	ESOfficeIDAHO FISH AND WILDLIFE OFFICE
-1.73652334075332	0.770657962800043	-2.25329967972301	0.0242402599461082	ESOfficeJUNEAU FISH AND WILDLIFE FIELD OFFICE
-8.3243793999614	0.586963108492133	-14.1821168647995	1.18225678198014e-45	ESOfficeKANSAS ECOLOGICAL SERVICES FIELD OFFICE
-3.41049977432651	1.12275570018405	-3.03761519426482	0.00238458244258674	ESOfficeKENAI FISH AND WILDLIFE FIELD OFFICE
-4.28496399125503	0.131272995634406	-32.6416257246739	1.05352917542522e-233	ESOfficeKENTUCKY ECOLOGICAL SERVICES FIELD OFFICE
-3.79349202657728	0.297675436211964	-12.7437187120675	3.37896606642018e-37	ESOfficeKLAMATH FALLS FISH AND WILDLIFE OFFICE
-2.79068386685522	0.205962382074003	-13.5494833510544	7.97897442799704e-42	ESOfficeLONG ISLAND ECOLOGICAL SERVICES FIELD OFFICE
-2.39731475767311	0.108637964813622	-22.0670072546545	6.55919147279585e-108	ESOfficeLOUISIANA ECOLOGICAL SERVICES FIELD OFFICE
-2.39968968910244	0.145798841918485	-16.4589077493777	7.23950140832809e-61	ESOfficeMAINE ECOLOGICAL SERVICES FIELD OFFICE
-7.74451718980496	0.715695260954396	-10.8209703379585	2.73862393512754e-27	ESOfficeMARION ECOLOGICAL SERVICES SUB-OFFICE
-18.5902738361036	1696.73434589892	-0.0109565023428901	0.991258150843022	ESOfficeMID-COLUMBIA RIVER FISHERIES RESOURCE OFFICE
-1.61334639564	0.106256639717627	-15.1834878265247	4.54933956450718e-52	ESOfficeMISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE
-6.82822645793651	0.422626488969795	-16.1566457289063	1.01960685158475e-58	ESOfficeMONTANA ECOLOGICAL SERVICES FIELD OFFICE
-6.6711234807422	0.252421743910517	-26.4284818629059	6.4502395484233e-154	ESOfficeNEBRASKA ECOLOGICAL SERVICES FIELD OFFICE
-2.61481295445014	0.154109617628921	-16.9672275791788	1.43551133363772e-64	ESOfficeNEVADA FISH AND WILDLIFE OFFICE
-6.4785527094595	0.32022888010782	-20.2310069825001	5.22254814529175e-91	ESOfficeNEW ENGLAND ECOLOGICAL SERVICES FIELD OFFICE
2.47877383188893	0.198666168638385	12.4770807675907	9.95706973909393e-36	ESOfficeNEW JERSEY ECOLOGICAL SERVICES FIELD OFFICE
-4.09137686229143	0.195082100535191	-20.9725897510181	1.16733710355315e-97	ESOfficeNEW MEXICO ECOLOGICAL SERVICES FIELD OFFICE
-1.96785247665375	0.117101401644532	-16.8046876383878	2.25497306294568e-63	ESOfficeNEW YORK ECOLOGICAL SERVICES FIELD OFFICE
-8.86635493509331	0.714922558831771	-12.4018396476137	2.5539201345283e-35	ESOfficeNORTH DAKOTA ECOLOGICAL SERVICES FIELD OFFICE
-1.86112875920948	0.114716592332831	-16.2237102877823	3.42843460920937e-59	ESOfficeNORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE
-1.90434380685648	0.118802992546027	-16.0294262463017	7.96144259184111e-58	ESOfficeOKLAHOMA ECOLOGICAL SERVICES FIELD OFFICE
-4.24287853395102	0.193966816982066	-21.8742494204218	4.56969014762221e-106	ESOfficeOREGON FISH AND WILDLIFE OFFICE
-3.3795375487206	0.144245899953055	-23.4290024868678	2.16438859113778e-121	ESOfficePACIFIC ISLANDS FISH AND WILDLIFE OFFICE
-1.99557360053053	0.121124647048841	-16.4753718516584	5.51484247890565e-61	ESOfficePANAMA CITY ECOLOGICAL SERVICES FIELD OFFICE
0.330005789799528	0.109995647383166	3.00017134905317	0.00269827766750621	ESOfficePENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE
-0.474759411398838	0.125282995351004	-3.78949601315572	0.000150953234012769	ESOfficeRALEIGH ECOLOGICAL SERVICES FIELD OFFICE
-2.96866702204488	0.457157588481765	-6.49374985090791	8.37257269355519e-11	ESOfficeRED BLUFF FISH AND WILDLIFE OFFICE
-5.03123724201316	0.185556542667341	-27.1143079607437	6.67739842153243e-162	ESOfficeROCK ISLAND ECOLOGICAL SERVICES FIELD OFFICE
0.203909651150501	0.15366357831001	1.32698752295825	0.184512810044965	ESOfficeSACRAMENTO FISH AND WILDLIFE OFFICE
1.81524689938839	0.722033967668116	2.51407410270589	0.0119345354295886	ESOfficeSAN FRANCISCO BAY - DELTA FISH AND WILDLIFE
-1.44379416322096	0.11117002852439	-12.9872608866354	1.44506918969847e-38	ESOfficeSOUTH CAROLINA ECOLOGICAL SERVICES
-4.20028116604694	0.12479412277391	-33.6576841335439	2.40689831102514e-248	ESOfficeSOUTH DAKOTA ECOLOGICAL SERVICES FIELD OFFICE
